CustomerID,TransactionDate,TransactionAmount,ItemPurchased
CUST020,2023-05-09,15.19,Coffee
CUST020,2023-02-05,7.05,Pastry
CUST020,2023-03-27,15.64,Coffee
CUST020,2023-02-01,18.83,Sandwich
CUST020,2023-04-15,20.24,Sandwich
CUST020,2023-02-21,22.18,Coffee
CUST020,2023-12-18,16.76,Pastry
CUST020,2023-05-09,20.87,Salad
CUST020,2023-07-30,18.78,Sandwich
CUST020,2023-12-13,6.97,Salad
CUST020,2023-05-27,5.23,Pastry
CUST020,2023-08-15,15.61,Coffee
